gene_id	gene_name	logCPM	logFC	PValue	FDR	location	gene_biotype	entrezid	ave_tx_len	gc_content	rankingStat	signedRank	DE
ENSG00000109906	ZBTB16	5.124238557283936	4.871643922553821	6.089347144310457e-21	9.531046150274728e-17	11:114059711-114256765:+	protein_coding	7704	2141.777777777778	53.8493463374144	20.215429266779605	15652	TRUE
ENSG00000164188	RANBP3L	4.279125095901995	4.0320889571852065	5.293235149670917e-18	4.1424858281324596e-14	5:36246913-36302114:-	protein_coding	202151	2251.75	35.83879205062726	17.27627881223657	15651	TRUE
ENSG00000145569	OTULINL	5.386884187110984	2.7098826501956412	2.226866120849501e-17	1.1618302841178797e-13	5:14581792-14616180:+	protein_coding	54491	2668	40.31734132933538	16.65230589195745	15650	TRUE
ENSG00000156853	ZNF689	8.244041371390473	2.652839576739519	9.13132969395803e-17	3.5730893092457774e-13	16:30602558-30624012:-	protein_coding	115509	1441	58.362248438584295	16.03946597638677	15649	TRUE
ENSG00000100003	SEC14L2	5.103191338036148	2.403565894217517	2.0167097138979427e-16	6.31310808838612e-13	22:30396941-30425303:+	protein_coding	23541	1251.0588235294117	55.256723716381416	15.69535660983142	15648	TRUE
ENSG00000182795	C1orf116	6.338601798100149	1.9619386391626867	2.6652324850400556e-16	6.93804194215175e-13	1:207018522-207032756:-	protein_coding	79098	4321.5	52.55119750086778	15.574264901997154	15647	TRUE
ENSG00000144749	LRIG1	4.70938099226427	2.892952014017116	3.1028810116957736e-16	6.93804194215175e-13	3:66378797-66501263:-	protein_coding	26018	2210.1111111111113	54.05459755668393	15.50823487828459	15646	TRUE
ENSG00000125257	ABCC4	4.523726498210513	2.3296681862628654	9.886668483549534e-16	1.9343266888064664e-12	13:95019835-95301475:-	protein_coding	10257	2712.5	44.2626728110599	15.004950028216564	15645	TRUE
ENSG00000104321	TRPA1	8.133935696770257	-1.4663867250810376	2.2179685728146895e-15	3.85729378907728e-12	8:72019917-72075584:-	protein_coding	8989	1692.5	39.43870014771047	-14.654044611816191	1	TRUE
ENSG00000057704	TMCC3	4.560796130687983	2.13293892395415	4.377811752985385e-15	6.852150955772724e-12	12:94567122-94650557:-	protein_coding	57458	2821.25	45.85733274257868	14.35874291713935	15644	TRUE
ENSG00000124225	PMEPA1	6.593847747605563	1.3673463223876408	5.002475291329368e-15	7.118067569080661e-12	20:57648392-57711536:-	protein_coding	56937	2687.125	53.68656091547659	14.300815047792364	15643	TRUE
ENSG00000096060	FKBP5	6.528335889622434	1.7207112729761218	9.23842958677177e-15	1.2049991657679312e-11	6:35573585-35728583:-	protein_coding	2289	4725.25	42.75964234696578	14.034401846936113	15642	TRUE
ENSG00000116741	RGS2	3.0436619681825556	2.809539192800154	1.3696465715492207e-14	1.589541034478782e-11	1:192809039-192812275:+	protein_coding	5997	805.75	42.786224014892966	13.863391485272812	15641	TRUE
ENSG00000109814	UGDH	7.600133351997174	1.2954642645982777	1.421771944972077e-14	1.589541034478782e-11	4:39498755-39528311:-	protein_coding	7358	1273.0833333333333	43.261111474766	13.847170059712527	15640	TRUE
ENSG00000287262	AC021148.3	3.6804994369330397	2.3817875187175677	2.6378477901487435e-14	2.7525062407605422e-11	4:39539395-39546073:-	lncRNA	NA	2631	45.4960091220068	13.578750267851682	15639	TRUE
ENSG00000117155	SSX2IP	6.141721526545919	1.3436202079313593	3.2837943092482796e-14	3.21237178302213e-11	1:84643707-84690803:-	protein_coding	117178	2353.3	38.256915820337404	13.483624054097096	15638	TRUE
ENSG00000139211	AMIGO2	4.627152386220331	-1.6081032093266507	9.962455779058542e-14	9.172491638460254e-11	12:47075707-47079951:-	protein_coding	347902	3225.6666666666665	44.610933140436096	-13.001633593320145	2	TRUE
ENSG00000171617	ENC1	4.341821687582456	-1.647727862232758	1.3687948903946478e-13	1.1902432013587238e-10	5:74627406-74641424:-	protein_coding	8507	3553.375	49.52685826854752	-12.863661624651607	3	TRUE
ENSG00000047644	WWC3	7.795287303595063	1.1794858973667248	1.5765474888886814e-13	1.2583737824694286e-10	X:10015254-10144474:+	protein_coding	55841	3741	54.55760491847103	12.802292942866167	15637	TRUE
ENSG00000077063	CTTNBP2	6.917437075443669	-1.2654374478123607	1.6079399213767297e-13	1.2583737824694286e-10	7:117710651-117874139:-	protein_coding	83992	1719.5833333333333	45.510055730554875	-12.793730182143541	4	TRUE
ENSG00000162734	PEA15	8.820323141722888	1.2351573756223821	1.763646451393924e-13	1.3145044884389382e-10	1:160205380-160215376:+	protein_coding	8682	1697.25	52.52614523493887	12.753588471130367	15636	TRUE
ENSG00000146674	IGFBP3	6.601812099575578	1.064140361488893	2.8127357762760466e-13	2.001133653194213e-10	7:45912245-45921874:-	protein_coding	3486	1319.4545454545455	51.598456662532726	12.550871062820539	15635	TRUE
ENSG00000128512	DOCK4	3.0097547212953115	2.24938800073458	3.4368004565025983e-13	2.33881742370342e-10	7:111726110-112206407:-	protein_coding	9732	3083.3684210526317	44.00518913013792	12.463845682630179	15634	TRUE
ENSG00000172175	MALT1	5.825655086243025	1.2376834267004526	4.053453557246752e-13	2.6435272949177567e-10	18:58671465-58754477:+	protein_coding	10892	2545.6363636363635	40.25426755231768	12.392174798580344	15633	TRUE
ENSG00000169213	RAB3B	7.782904701463443	1.1567805476194584	4.3404076400331354e-13	2.7174424152719456e-10	1:51907956-51990700:-	protein_coding	5865	12780	44.6870109546166	12.362469480740172	15632	TRUE
ENSG00000105879	CBLL1	6.533350231010905	1.2886767304215612	5.218697462060087e-13	3.1416558721601726e-10	7:107743949-107761667:+	protein_coding	79872	1335.625	41.32896583996259	12.282437879302094	15631	TRUE
ENSG00000267337	LINC01478	5.066693035128406	-1.5062399816398402	7.111190887695785e-13	4.1223836953412753e-10	18:44280768-44579953:-	lncRNA	101927921	1326.8064516129032	40.13031533393304	-12.148057663314415	5	TRUE
ENSG00000075223	SEMA3C	6.070114227026908	-1.1235567616516695	1.1016998496947984e-12	6.101863757697426e-10	7:80742538-80922359:-	protein_coding	10512	1318.111111111111	42.42603051504677	-11.957936709818751	6	TRUE
ENSG00000186526	CYP4F8	2.920133280768377	2.9324865008895875	1.1305523190213732e-12	6.101863757697426e-10	19:15615218-15630639:+	protein_coding	11283	1478.1666666666667	54.278949148720265	11.946709334834306	15630	TRUE
ENSG00000047648	ARHGAP6	7.631098521670008	1.2312956229102907	1.338671039620812e-12	6.98429303738165e-10	X:11117651-11665920:-	protein_coding	395	3785.6666666666665	51.43377065539609	11.873326131897375	15629	TRUE
ENSG00000179094	PER1	4.200542526106865	1.5668970759032854	2.0236196310674736e-12	1.0217320795312288e-9	17:8140472-8156506:-	protein_coding	5187	1472.842105263158	62.57146941109206	11.693871116166552	15628	TRUE
